flow_start,duration_s,protocol,src_ip,src_port,dst_ip,dst_port,packets,bytes,tcp_flags,tos,iat_mean,iat_std,payload_entropy,dns_query,bytes_per_sec,packets_per_sec,bytes_per_packet,flag_syn,flag_ack,flag_fin,flag_rst,flag_psh,flag_urg,src_port_category,dst_port_category,flow_duration_class,label,attack_type,attack_category,mitre_technique,mitre_tactic,confidence,evidence_source,threat_intel_score,country,behavioral_flags,flow_file
2026-06-24 17:42:05.960,00:00:00.000,TCP,371d0a6fc8d2,39835,14b98ad80ffe,8081,1,40,......S.,0,6.6e-05,0.0,0.0,none,0,0,40,1,0,0,0,0,0,registered,registered,instant,Attack_Verified,Port-8081-Scan,reconnaissance,T1046,discovery,honeypot-verified,honeypot:port-match,100.0,NL,,nfcapd.202606241740
2026-06-24 17:42:06.625,00:00:00.000,TCP,371d0a6fc8d2,39835,14b98ad80ffe,8081,1,40,......S.,0,6.6e-05,0.0,0.0,none,0,0,40,1,0,0,0,0,0,registered,registered,instant,Attack_Verified,Port-8081-Scan,reconnaissance,T1046,discovery,honeypot-verified,honeypot:port-match,100.0,NL,,nfcapd.202606241740
2026-06-24 17:42:06.745,00:00:00.000,TCP,ec4c454fd065,61234,5af3b7d44e02,5000,1,52,......S.,0,6.8e-05,0.0,0.0,none,0,0,52,1,0,0,0,0,0,dynamic,registered,instant,Attack_Verified,Port-5000-Scan,reconnaissance,T1046,discovery,honeypot-verified,honeypot:port-match,100.0,US,,nfcapd.202606241740
2026-06-24 17:42:05.960,00:00:00.000,TCP,ec4c454fd065,61234,5af3b7d44e02,5000,1,52,......S.,0,6.8e-05,0.0,0.0,none,0,0,52,1,0,0,0,0,0,dynamic,registered,instant,Attack_Verified,Port-5000-Scan,reconnaissance,T1046,discovery,honeypot-verified,honeypot:port-match,100.0,US,,nfcapd.202606241740
2026-06-24 17:42:06.755,00:00:00.000,TCP,046950a0bdab,51370,390f310206d1,8080,1,40,......S.,0,2.6e-05,0.0,0.0,none,0,0,40,1,0,0,0,0,0,dynamic,registered,instant,Attack_Verified,HTTP-Alt-Probe,web-attack,T1190,initial-access,honeypot-verified,honeypot:port-match,100.0,NL,,nfcapd.202606241740
2026-06-24 17:42:05.970,00:00:00.000,TCP,046950a0bdab,51370,390f310206d1,8080,1,40,......S.,0,2.6e-05,0.0,0.0,none,0,0,40,1,0,0,0,0,0,dynamic,registered,instant,Attack_Verified,HTTP-Alt-Probe,web-attack,T1190,initial-access,honeypot-verified,honeypot:port-match,100.0,NL,,nfcapd.202606241740
2026-06-24 17:42:06.885,00:00:00.000,TCP,7f25416d9bce,55548,87db854ac5b5,8888,1,40,......S.,0,0.0,0.0,0.0,none,0,0,40,1,0,0,0,0,0,dynamic,registered,instant,Attack_Verified,Port-8888-Scan,reconnaissance,T1046,discovery,honeypot-verified,honeypot:port-match,100.0,NL,,nfcapd.202606241740
2026-06-24 17:42:05.970,00:00:00.000,TCP,7f25416d9bce,55548,87db854ac5b5,8888,1,40,......S.,0,0.0,0.0,0.0,none,0,0,40,1,0,0,0,0,0,dynamic,registered,instant,Attack_Verified,Port-8888-Scan,reconnaissance,T1046,discovery,honeypot-verified,honeypot:port-match,100.0,NL,,nfcapd.202606241740
2026-06-24 17:42:07.295,00:00:00.000,TCP,31a2b2618d9d,35177,b4996544404c,8081,1,40,......S.,0,0.0,0.0,0.0,none,0,0,40,1,0,0,0,0,0,registered,registered,instant,Attack_Verified,Port-8081-Scan,reconnaissance,T1046,discovery,honeypot-verified,honeypot:port-match,100.0,SE,,nfcapd.202606241740
2026-06-24 17:42:06.990,00:00:00.000,TCP,31a2b2618d9d,35177,b4996544404c,8081,1,40,......S.,0,0.0,0.0,0.0,none,0,0,40,1,0,0,0,0,0,registered,registered,instant,Attack_Verified,Port-8081-Scan,reconnaissance,T1046,discovery,honeypot-verified,honeypot:port-match,100.0,SE,,nfcapd.202606241740
2026-06-24 17:42:07.925,00:00:00.000,TCP,371d0a6fc8d2,54824,2e7139a7da7e,8081,1,40,......S.,0,6.6e-05,0.0,0.0,none,0,0,40,1,0,0,0,0,0,dynamic,registered,instant,Attack_Verified,Port-8081-Scan,reconnaissance,T1046,discovery,honeypot-verified,honeypot:port-match,100.0,NL,,nfcapd.202606241740
2026-06-24 17:42:06.990,00:00:00.000,TCP,371d0a6fc8d2,54824,2e7139a7da7e,8081,1,40,......S.,0,6.6e-05,0.0,0.0,none,0,0,40,1,0,0,0,0,0,dynamic,registered,instant,Attack_Verified,Port-8081-Scan,reconnaissance,T1046,discovery,honeypot-verified,honeypot:port-match,100.0,NL,,nfcapd.202606241740
2026-06-24 17:42:07.995,00:00:00.000,TCP,8418b202a58c,47939,3cca3630731e,6444,1,52,......S.,0,3.3e-05,0.0,0.0,none,0,0,52,1,0,0,0,0,0,registered,registered,instant,Attack_Verified,Port-6444-Scan,reconnaissance,T1046,discovery,honeypot-verified,honeypot:port-match,100.0,SG,,nfcapd.202606241740
2026-06-24 17:42:07.940,00:00:00.000,TCP,8418b202a58c,47939,3cca3630731e,6444,1,52,......S.,0,3.3e-05,0.0,0.0,none,0,0,52,1,0,0,0,0,0,registered,registered,instant,Attack_Verified,Port-6444-Scan,reconnaissance,T1046,discovery,honeypot-verified,honeypot:port-match,100.0,SG,,nfcapd.202606241740
2026-06-24 17:42:08.145,00:00:00.000,TCP,44e9933e03ae,57608,bcae6fdd3eed,60076,1,52,......S.,0,6.8e-05,0.0,0.0,none,0,0,52,1,0,0,0,0,0,dynamic,dynamic,instant,Attack_Verified,Port-60076-Scan,reconnaissance,T1046,discovery,honeypot-verified,honeypot:port-match,100.0,SG,,nfcapd.202606241740
2026-06-24 17:42:07.950,00:00:00.000,TCP,44e9933e03ae,57608,bcae6fdd3eed,60076,1,52,......S.,0,6.8e-05,0.0,0.0,none,0,0,52,1,0,0,0,0,0,dynamic,dynamic,instant,Attack_Verified,Port-60076-Scan,reconnaissance,T1046,discovery,honeypot-verified,honeypot:port-match,100.0,SG,,nfcapd.202606241740
2026-06-24 17:42:08.185,00:00:00.000,TCP,99312e77913d,61234,1ab62b50ea54,790,1,52,......S.,0,6.8e-05,0.0,0.0,none,0,0,52,1,0,0,0,0,0,dynamic,well-known,instant,Attack_Verified,Port-790-Scan,reconnaissance,T1046,discovery,honeypot-verified,honeypot:port-match,100.0,US,,nfcapd.202606241740
